"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","BSS Id","SSID","Info"
"4588","26.457873","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=118, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4610","26.553975","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=228, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4611","26.557599","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=119, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4634","26.656483","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=229, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4635","26.660069","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=120, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4681","26.763659","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=230, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4682","26.767273","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=121, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4696","26.861182","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=231, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4697","26.864797","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=122, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4725","26.963582","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=232, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4726","26.967191","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=123, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4759","27.065987","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=233, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4760","27.069853","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=124, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4797","27.172746","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=234, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4798","27.176321","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=125, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4810","27.270779","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=235, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4811","27.274405","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=126, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4820","27.373239","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=236, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4821","27.376779","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=127, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4861","27.475577","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=237, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4862","27.479179","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=128, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4881","27.578278","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=238, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4882","27.581607","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=129, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4900","27.683169","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=239, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4901","27.686743","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=130, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4914","27.785468","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=240, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4915","27.789044","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=131, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4929","27.885188","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=241, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4930","27.888779","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=132, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4941","27.987579","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=242, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4942","27.991196","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=133, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4960","28.089990","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=243, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4961","28.093656","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=134, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4982","28.192375","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=244, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4983","28.195967","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=135, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4999","28.294802","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=245, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5000","28.298418","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=136, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5019","28.397152","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=246, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5020","28.400774","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=137, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5036","28.499433","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=247, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5037","28.503286","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=138, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5061","28.601991","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=248, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5062","28.605562","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=139, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5089","28.704360","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=249, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5090","28.707982","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=140, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5119","28.806764","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=250, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5120","28.810634","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=141, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5138","28.910912","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=251, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5139","28.914501","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=142, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5185","29.019504","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=252, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5186","29.023160","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=143, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5227","29.114001","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=253, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5228","29.117599","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=144, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5257","29.216385","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=254, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5258","29.220000","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=145, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5287","29.318572","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=255, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5288","29.322468","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=146, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5317","29.423875","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=256, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5318","29.427450","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=147, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5345","29.523675","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=257, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5346","29.527283","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=148, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5362","29.626016","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=258, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5363","29.629600","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=149, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5385","29.728359","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=259, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5386","29.731965","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=150, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5400","29.830800","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=260, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5401","29.834408","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=151, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5411","29.933379","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=261, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5412","29.936665","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=152, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5445","30.035587","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=262, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5446","30.039164","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=153, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5469","30.139141","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=263, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5470","30.142735","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=154, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5481","30.240918","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=264, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5482","30.244491","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=155, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5496","30.342806","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=265, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5497","30.346405","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=156, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5514","30.445167","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=266, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5515","30.448770","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=157, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5533","30.550167","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=158, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5550","30.649969","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=268, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5551","30.653574","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=159, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5573","30.752355","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=269, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5574","30.755955","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=160, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5592","30.854745","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=270, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5593","30.858358","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=161, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5614","30.957138","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=271, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5615","30.960755","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=162, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5633","31.059574","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=272, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5634","31.063177","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=163, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5664","31.161973","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=273, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5665","31.165880","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=164, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5712","31.366795","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=275, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5713","31.370391","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=166, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5734","31.469143","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=276, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5735","31.472757","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=167, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5753","31.574271","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=277, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5754","31.577855","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=168, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5774","31.673950","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=278, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5775","31.677547","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=169, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5789","31.776358","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=279, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5790","31.779967","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=170, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5808","31.878778","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=280, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5809","31.882373","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=171, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5826","31.981746","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=281, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5827","31.985621","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=172, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5843","32.083563","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=282, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5844","32.087158","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=173, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5860","32.185957","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=283, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"5861","32.189555","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=174, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
