"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","BSS Id","SSID","Info"
"3860","23.076009","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=85, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3879","23.174801","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=195, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3880","23.178432","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=86, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3899","23.277224","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=196, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3900","23.280839","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=87, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3919","23.379757","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=197, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3920","23.383355","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=88, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3940","23.482004","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=198, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3941","23.485616","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=89, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3961","23.584419","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=199, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
